Unnamed: 0	observableId	simulationConditionId	measurement	time
361	obs_E2F1__nuc_median	wt	1.0209246371553822	40890
362	obs_E2F1__nuc_median	wt	1.001703425538506	41595
363	obs_E2F1__nuc_median	wt	0.982283288892051	42300
364	obs_E2F1__nuc_median	wt	0.9627007152220738	43005
365	obs_E2F1__nuc_median	wt	0.9429845817953036	43710
366	obs_E2F1__nuc_median	wt	0.9231556561199211	44415
367	obs_E2F1__nuc_median	wt	0.9032259507134015	45120
368	obs_E2F1__nuc_median	wt	0.8831977726257368	45825
369	obs_E2F1__nuc_median	wt	0.8630623554640479	46530
370	obs_E2F1__nuc_median	wt	0.8427978791109482	47235
371	obs_E2F1__nuc_median	wt	0.8223665253411316	47940
372	obs_E2F1__nuc_median	wt	0.801710040909619	48645
373	obs_E2F1__nuc_median	wt	0.7807428113919022	49350
374	obs_E2F1__nuc_median	wt	0.7593407238304203	50055
375	obs_E2F1__nuc_median	wt	0.7373223722887782	50760
376	obs_E2F1__nuc_median	wt	0.7144154358081205	51465
377	obs_E2F1__nuc_median	wt	0.6901917081396833	52170
378	obs_E2F1__nuc_median	wt	0.663927564286521	52875
379	obs_E2F1__nuc_median	wt	0.634256492442935	53580
380	obs_E2F1__nuc_median	wt	0.5980825216163029	54285
381	obs_E2F1__nuc_median	wt	0.5455042522093189	54990
382	obs_E2F1__nuc_median	wt	0.4315454554851216	55695
383	obs_E2F1__nuc_median	wt	0.2871650067232771	56400
384	obs_E2F1__nuc_median	wt	0.1832489663564851	57105
385	obs_E2F1__nuc_median	wt	0.12074934692993008	57810
386	obs_E2F1__nuc_median	wt	0.08617451932998874	58515
387	obs_E2F1__nuc_median	wt	0.06827388605655049	59220
388	obs_E2F1__nuc_median	wt	0.05998122154911961	59925
389	obs_E2F1__nuc_median	wt	0.05726469897749329	60630
390	obs_E2F1__nuc_median	wt	0.057894997606926416	61335
391	obs_E2F1__nuc_median	wt	0.06064008812393341	62040
392	obs_E2F1__nuc_median	wt	0.06481670860853922	62745
393	obs_E2F1__nuc_median	wt	0.070078439275255	63450
394	obs_E2F1__nuc_median	wt	0.0762875051313992	64155
395	obs_E2F1__nuc_median	wt	0.08337992557259234	64860
396	obs_E2F1__nuc_median	wt	0.09130899397459791	65565
397	obs_E2F1__nuc_median	wt	0.10005528009876541	66270
398	obs_E2F1__nuc_median	wt	0.10964563069833169	66975
399	obs_E2F1__nuc_median	wt	0.12014580772668937	67680
400	obs_E2F1__nuc_median	wt	0.13163652020029298	68385
401	obs_E2F1__nuc_median	wt	0.14420300704619976	69090
402	obs_E2F1__nuc_median	wt	0.15794073494815983	69795
403	obs_E2F1__nuc_median	wt	0.172961841831726	70500
404	obs_pRB__nuc_median	wt	1.508139946302	0
405	obs_pRB__nuc_median	wt	1.7254320537308503	705
406	obs_pRB__nuc_median	wt	1.7333112283652008	1410
407	obs_pRB__nuc_median	wt	1.7398862742842782	2115
408	obs_pRB__nuc_median	wt	1.7464254644407904	2820
409	obs_pRB__nuc_median	wt	1.7530469488479408	3525
410	obs_pRB__nuc_median	wt	1.7596830022662093	4230
411	obs_pRB__nuc_median	wt	1.7661857311811642	4935
412	obs_pRB__nuc_median	wt	1.7723773437781254	5640
413	obs_pRB__nuc_median	wt	1.7780854939252153	6345
414	obs_pRB__nuc_median	wt	1.7831702754160228	7050
