fx,time(s)
2.84E+03,5.29E+04
2.84E+03,5.29E+04
2.84E+03,5.30E+04
2.84E+03,5.30E+04
2.84E+03,5.30E+04
2.84E+03,5.30E+04
2.84E+03,5.30E+04
2.84E+03,5.31E+04
2.84E+03,5.31E+04
2.84E+03,5.31E+04
2.84E+03,5.32E+04
2.84E+03,5.32E+04
2.84E+03,5.33E+04
2.84E+03,5.33E+04
2.84E+03,5.34E+04
2.84E+03,5.34E+04
2.84E+03,5.34E+04
2.84E+03,5.35E+04
2.84E+03,5.35E+04
2.84E+03,5.35E+04
2.84E+03,5.36E+04
2.84E+03,5.36E+04
2.84E+03,5.36E+04
2.84E+03,5.37E+04
2.84E+03,5.37E+04
2.84E+03,5.37E+04
2.84E+03,5.38E+04
2.84E+03,5.38E+04
2.84E+03,5.38E+04
2.84E+03,5.39E+04
2.84E+03,5.39E+04
2.84E+03,5.39E+04
2.84E+03,5.39E+04
2.84E+03,5.39E+04
2.84E+03,5.39E+04
2.84E+03,5.40E+04
2.84E+03,5.40E+04
2.84E+03,5.40E+04
2.84E+03,5.40E+04
2.84E+03,5.40E+04
2.84E+03,5.40E+04
2.84E+03,5.41E+04
2.84E+03,5.41E+04
2.84E+03,5.41E+04
2.84E+03,5.41E+04
2.84E+03,5.41E+04
2.84E+03,5.42E+04
2.84E+03,5.42E+04
2.84E+03,5.42E+04
2.84E+03,5.42E+04
2.84E+03,5.42E+04
2.84E+03,5.43E+04
2.84E+03,5.43E+04
2.84E+03,5.43E+04
2.84E+03,5.43E+04
2.84E+03,5.43E+04
2.84E+03,5.44E+04
2.84E+03,5.44E+04
2.84E+03,5.44E+04
2.84E+03,5.44E+04
2.84E+03,5.44E+04
2.84E+03,5.45E+04
2.84E+03,5.45E+04
2.84E+03,5.45E+04
2.84E+03,5.46E+04
2.84E+03,5.46E+04
2.84E+03,5.46E+04
